hogar,sexo,edad,dia_laborable,trabajo_pago,trabajo_domestico_no_pago,voluntariados,estudio_educacion,recreacion,aplicaciones,tareas_cuidados,cuidado_personal,trabajo_pago2,trabajo_domestico_no_pago2,voluntariados2,estudio_educacion2,recreacion2,aplicaciones2,tareas_cuidados2,cuidado_personal2,dia_tipico,rango_etario,nivel_educativo,relacion_parentesco_jefe,tipo_hogar,quintil_ingreso,estado_ocupacional
1884_1,Mujer,68,Día no laborable,0.0,8.7,0.0,0.0,1.0,6.2,2.0,9.7,0.0,7.7,0.0,0.0,0.5,6.2,1.0,8.7,Día atípico,65+,Secundario completo/Superior incompleto,Conyugue o pareja,Otro,5to quintil,Inactivo
1885_1,Mujer,68,Día laborable,9.7,0.6,0.0,0.0,3.0,1.5,0.0,9.3,9.7,0.6,0.0,0.0,3.0,1.5,0.0,9.3,Día atípico,65+,Secundario completo/Superior incompleto,Jefe,Unipersonal,5to quintil,Ocupado
1886_1,Mujer,68,Día no laborable,0.0,4.5,0.0,0.0,3.0,6.0,0.0,10.5,0.0,4.5,0.0,0.0,3.0,6.0,0.0,10.5,Día atípico,65+,Superior completo,Jefe,Unipersonal,5to quintil,Ocupado
1887_1,Varon,68,Día laborable,8.0,0.3,0.0,0.0,2.0,1.5,0.0,13.5,8.0,0.3,0.0,0.0,1.5,1.5,0.0,12.8,Día atípico,65+,Secundario completo/Superior incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado
1888_1,Mujer,68,Día no laborable,0.0,5.8,0.0,0.0,4.3,3.3,0.0,12.8,0.0,5.6,0.0,0.0,3.2,3.3,0.0,11.9,Día atípico,65+,Secundario completo/Superior incompleto,Jefe,Otro,5to quintil,Desocupado
1889_1,Mujer,68,Día no laborable,0.0,6.2,0.0,0.0,6.5,1.8,0.0,13.0,0.0,5.8,0.0,0.0,4.8,1.8,0.0,11.7,Día atípico,65+,Superior completo,Jefe,Unipersonal,5to quintil,Ocupado
1890_1,Mujer,68,Día no laborable,0.0,2.8,0.0,0.0,2.8,6.1,2.1,12.3,0.0,2.6,0.0,0.0,1.8,6.1,2.0,11.6,Día atípico,65+,Superior completo,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Inactivo
1891_1,Varon,68,Día laborable,11.3,0.3,0.0,0.0,5.0,0.0,0.0,11.0,11.3,0.3,0.0,0.0,3.3,0.0,0.0,9.3,Día atípico,65+,Secundario completo/Superior incompleto,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Ocupado
1892_1,Varon,68,Día laborable,13.0,3.1,0.0,0.0,0.0,0.0,0.0,9.9,12.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,Día atípico,65+,Superior completo,Jefe,Unipersonal,5to quintil,Ocupado
1893_1,Mujer,69,Día no laborable,0.0,4.3,0.0,0.0,4.0,1.2,0.0,16.5,0.0,4.3,0.0,0.0,3.0,1.2,0.0,15.5,Día atípico,65+,Secundario incompleto,Jefe,Otro,5to quintil,Ocupado
1894_1,Mujer,69,Día no laborable,0.0,6.5,0.0,0.0,9.5,2.0,0.0,11.0,0.0,5.0,0.0,0.0,7.0,2.0,0.0,10.0,Día atípico,65+,Secundario incompleto,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Inactivo
1895_1,Mujer,69,Día no laborable,0.0,5.5,0.0,0.0,2.8,4.5,0.0,13.0,0.0,5.5,0.0,0.0,1.9,4.5,0.0,12.1,Día atípico,65+,Secundario incompleto,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Inactivo
1896_1,Mujer,69,Día no laborable,0.0,3.5,0.0,0.0,0.0,2.7,0.0,17.8,0.0,3.5,0.0,0.0,0.0,2.7,0.0,17.8,Día atípico,65+,Secundario incompleto,Jefe,Unipersonal,5to quintil,Desocupado
1897_1,Mujer,69,Día no laborable,0.0,2.8,6.8,0.0,3.5,1.3,0.0,12.3,0.0,2.8,6.3,0.0,2.3,1.3,0.0,11.5,Día atípico,65+,Secundario incompleto,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Inactivo
1898_1,Mujer,69,Día no laborable,0.0,5.1,0.0,0.0,8.3,3.1,0.0,12.8,0.0,4.3,0.0,0.0,5.6,3.1,0.0,11.0,Día atípico,65+,Secundario completo/Superior incompleto,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Inactivo
1899_1,Mujer,69,Día no laborable,0.0,3.2,0.0,0.0,3.5,4.0,0.0,13.3,0.0,3.2,0.0,0.0,3.5,4.0,0.0,13.3,Día atípico,65+,Secundario completo/Superior incompleto,Jefe,Unipersonal,5to quintil,Inactivo
1900_1,Varon,69,Día no laborable,0.0,3.3,0.0,0.0,7.5,2.0,0.0,12.2,0.0,3.3,0.0,0.0,7.0,2.0,0.0,11.7,Día atípico,65+,Secundario incompleto,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Inactivo
1901_1,Mujer,69,Día no laborable,0.0,7.0,0.0,0.0,2.0,2.0,0.0,13.0,0.0,7.0,0.0,0.0,2.0,2.0,0.0,13.0,Día atípico,65+,Secundario completo/Superior incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Inactivo
1902_1,Varon,69,Día no laborable,0.0,5.2,0.0,0.0,6.5,4.0,0.0,11.3,0.0,5.2,0.0,0.0,5.3,3.8,0.0,9.8,Día atípico,65+,Secundario completo/Superior incompleto,Jefe,Otro,5to quintil,Ocupado
1903_1,Mujer,69,Día laborable,3.2,4.8,0.0,0.0,1.3,0.5,0.0,14.8,3.2,4.8,0.0,0.0,1.0,0.5,0.0,14.5,Día atípico,65+,Secundario incompleto,Jefe,Unipersonal,5to quintil,Ocupado
1904_1,Varon,69,Día no laborable,0.0,5.8,0.0,0.0,6.0,3.0,0.0,12.3,0.0,5.8,0.0,0.0,4.5,3.0,0.0,10.8,Día atípico,65+,Secundario completo/Superior incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Inactivo
1905_1,Mujer,69,Día laborable,5.5,2.2,0.0,0.0,11.0,2.5,0.0,13.8,2.8,1.7,0.0,0.0,5.5,2.5,0.0,11.6,Día atípico,65+,Secundario incompleto,Jefe,Unipersonal,5to quintil,Ocupado
1906_1,Mujer,69,Día no laborable,0.0,1.1,0.0,0.0,9.0,2.0,0.0,11.9,0.0,1.1,0.0,0.0,9.0,2.0,0.0,11.9,Día atípico,65+,Secundario incompleto,Jefe,Unipersonal,5to quintil,Inactivo
1907_1,Mujer,69,Día no laborable,0.0,8.0,0.0,0.0,0.0,1.3,0.0,14.8,0.0,8.0,0.0,0.0,0.0,1.3,0.0,14.8,Día atípico,65+,Secundario completo/Superior incompleto,Jefe,Unipersonal,5to quintil,Inactivo
1908_1,Mujer,69,Día no laborable,0.0,5.5,0.0,0.0,8.0,0.5,0.0,12.0,0.0,5.3,0.0,0.0,7.0,0.5,0.0,11.3,Día atípico,65+,Secundario completo/Superior incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Inactivo
1909_1,Mujer,69,Día no laborable,5.5,4.0,0.0,0.0,2.0,1.2,0.0,14.2,5.5,2.5,0.0,0.0,1.5,1.2,0.0,13.3,Día atípico,65+,Superior completo,Jefe,Otro,5to quintil,Inactivo
1910_1,Mujer,69,Día no laborable,0.0,1.8,0.0,0.0,0.0,7.9,0.0,14.3,0.0,1.8,0.0,0.0,0.0,7.9,0.0,14.3,Día atípico,65+,Secundario completo/Superior incompleto,Jefe,Unipersonal,5to quintil,Inactivo
